Content,Video title,Video publish time,Comments added,Average percentage viewed (%),Likes,Views,Impressions,Impressions click-through rate (%)
fiFxl2OFAHg,Create Hand Drawn Charts In Excel Using Python (Fast & Easy) | Cutecharts Tutorial 📊,12-Dec-20,5,28.11,48,904,19385,2.4
i9N8QWC6uqQ,How to download the WhatsApp Bulk Sender,,5,62.86,6,1294,12,8.33
jMBaY-rO4G0,How To Create An Interactive Population Pyramid in Python Using Plotly (Fast & Easy),24-Dec-20,5,28.91,55,2121,27618,3.05
JaPj_gOTg6M,Pull Stock Data & Export It To Excel Using Python #shorts,6-Mar-21,4,73.26,89,1961,37686,2.76
RnTqlKzQhRY,PySimpleGUI Retrieve Data,,4,85.97,6,182,78,2.56
8SLiFCnFOEo,Add a snowflake animation to your streamlit web app (quick & easy),24-Dec-21,3,27.17,58,2087,52669,2.15
ldJR61FLhqw,How To Create A GUI Program In Python Using Tkinter (EASY) 💻 | Fun Fact Generator,13-Sep-20,3,31.51,46,1994,37525,3.43
GGfvTFA7ZlI,Quick Tip: Excel VBA Debugging,4-Jan-21,2,68.05,14,621,17069,2.01
GiwPRN7Rrms,Create Gauge & Bullet Charts In 3 Seconds Using Excel and Python 🐍 | Free Excel Template,26-Dec-20,2,27.42,49,2159,35463,4.13
l4Dd1xLfNVY,xlwings - demo,,0,102.23,0,3,0,
pqIjey6Cbhw,"How to resolve ""pytube.exceptions.RegexMatchError""",,0,44.91,0,13,3,0
